	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000145214	739.590393274306	1.66203765826959	0.442894470299879	3.7526719562433	0.000174959740597406	0.00662597153763218
ENSG00000206113	73.0308277347974	-4.04575933287546	0.692748994543737	-5.84015186559759	5.21532591624938e-09	1.65259814761355e-06
ENSG00000248399	8.76259544206884	-6.50382388550071	1.72054427117048	-3.78009679522875	0.000156767401158018	0.00618009189478528
ENSG00000109736	1225.06495656336	1.32892694195345	0.399081643892501	3.32996258357454	0.000868576550038675	0.0209815719946612
ENSG00000168824	45.4823402287575	-2.99513491498615	0.737452497877594	-4.06146148207	4.87664650803215e-05	0.002614070493267
ENSG00000072840	779.528734754696	-2.02819529009458	0.610759808279938	-3.32077399756627	0.000897681965000056	0.0214424357155023
ENSG00000132405	858.112437974351	-1.58088356350588	0.376438525905873	-4.19957962512364	2.67410981734803e-05	0.00168617105938724
ENSG00000173013	57.4860926967991	-2.21595706093702	0.724316243027798	-3.05937783705339	0.00221797224471087	0.0388269225187743
ENSG00000170801	658.921508269372	-2.00855567374076	0.672054225206359	-2.98868097008693	0.00280184519219894	0.0449894744684516
ENSG00000048342	675.069184234457	-1.61820018314088	0.481122332418658	-3.36338613717221	0.000769925896444075	0.019370407000688
ENSG00000007062	352.612444876771	-7.52747778104004	1.13651108231358	-6.62332105527425	3.512170383657e-11	1.75840322428171e-08
ENSG00000153012	210.090018618445	-3.01515370120721	0.790390630983682	-3.81476396987993	0.000136313158202906	0.00561965947956031
ENSG00000197057	402.644981115128	-3.76449407512921	1.25219620427685	-3.00631327764105	0.00264436404783495	0.0436065230642378
ENSG00000154277	165.731132838626	-2.14890757706716	0.629346720525837	-3.41450508437017	0.000638980009421592	0.0170560020409281
ENSG00000188848	33.5292984761292	3.91408684396537	1.10813668379238	3.53213362684661	0.000412220995513095	0.0126150711255248
ENSG00000109182	85.6586018716529	-6.24708367560246	1.30844953311899	-4.77441698550735	1.8022860651561e-06	0.000213822877104515
ENSG00000163069	1318.32907286124	-1.48537481488027	0.466472919259911	-3.18426805405319	0.00145120559642285	0.0300231650373994
ENSG00000163071	780.052020218536	-3.67567675514411	0.893124958317533	-4.11552350084175	3.86301632791599e-05	0.00219280924573064
ENSG00000286599	107.490421151731	1.4736584219926	0.499480434507136	2.9503826780457	0.00317380556408188	0.0485740182374328
ENSG00000156096	12.1074578498212	-3.46916262880609	1.14487899087419	-3.03015659860886	0.0024442696832915	0.0413987841555049
ENSG00000169429	6759.78461988621	-4.05787977811543	0.928380891973103	-4.37092126001339	1.23723407106214e-05	0.000958875557303362
ENSG00000124875	95.009984458882	-3.23067406256207	1.00948768345641	-3.20031052929789	0.00137279595280179	0.0289513067282958
ENSG00000163297	2126.5485378749	-1.58330067359535	0.365235340806002	-4.33501497993408	1.45750196796891e-05	0.00107945700485698
ENSG00000197826	30.3457489031458	-5.33545138377673	1.33458869880714	-3.9978244897065	6.39273222274105e-05	0.00320699931326406
ENSG00000249242	453.81089931478	-1.67216421586565	0.530011111367959	-3.15496067912574	0.00160519737590687	0.0318406544461781
ENSG00000163322	298.500283412033	-1.66240671321924	0.41978304342572	-3.96015689355352	7.49005374352e-05	0.0036266637400684
ENSG00000152595	7.09315957962347	-6.19926539927635	1.82957005304261	-3.38837279773292	0.000703086319566482	0.0181447008636162
ENSG00000138722	1718.22146889662	-4.10925727947848	0.746296182707797	-5.50620165919757	3.66658504383393e-08	8.74148794307568e-06
ENSG00000196344	13.6183536843571	-7.13384819364761	1.67962691845851	-4.24728141425283	2.16380102939449e-05	0.00145608685937721
ENSG00000164038	280.618722499635	-1.28129919888283	0.408123481337116	-3.1394890455334	0.00169242742140853	0.0328932730125154
ENSG00000155011	347.689918426378	-3.71857426134569	0.723555171258409	-5.13930990898501	2.75749288227532e-07	4.69580403551008e-05
ENSG00000145362	1263.02942487451	-2.60927599168864	0.595047672028506	-4.38498647140937	1.15992987029224e-05	0.000913098252925333
ENSG00000164099	237.657209451658	-3.45718769995344	1.14152524944035	-3.02856875189433	0.00245715159980247	0.0414766527295045
ENSG00000172403	1981.76505500268	-1.67119125441353	0.478212605442611	-3.49466165340153	0.000474663067062505	0.0138973573775154
ENSG00000138685	717.601289282972	-2.43516543734359	0.678380449090377	-3.58967514557479	0.0003310903121558	0.0106531925246737
ENSG00000196159	1251.28853696458	-2.05681813921782	0.632774342258209	-3.25047651565258	0.00115211783513678	0.0255909190478962
ENSG00000151014	208.980733603139	-2.87450217440268	0.856737896902982	-3.35517103281378	0.000793159298703396	0.0198155256730959
ENSG00000145391	2936.4347936173	-1.20995598179151	0.37212602257997	-3.2514683423718	0.00114810560758499	0.0255784833418623
ENSG00000170153	244.161811020717	-1.27287960709473	0.431719330332874	-2.9483961399488	0.003194274526763	0.0486980963632511
ENSG00000250673	70.1847814911662	3.91871014095906	1.0214424198597	3.83644742451299	0.000124826903670516	0.00526946354061389
ENSG00000137473	74.213574158259	-4.40418806182179	1.39822880511438	-3.14983359355233	0.00163363483466355	0.0321885819803694
ENSG00000071205	489.536499989387	-1.19013042697208	0.385103843939754	-3.09041430175458	0.00199877475351511	0.036340391520822
ENSG00000145428	92.6356882947091	1.51884823881052	0.499297070421573	3.04197306330699	0.00235032926076716	0.0403516291652302
ENSG00000280241	25.2479088647873	-3.17466927152288	1.0615235753426	-2.99067241205478	0.00278363938058065	0.0448409553501129
